ID,Epic,Task,Sub-task,Title,Description,Owner,Priority,Week,Duration (days),Dependencies,Status,Notes
,E2 – Backend Completion,2.3 Payment Hardware Controller,,Payment Hardware Controller,New hardware/payment.py module,FSD,P0,1–2,3,2.1,Not Started,
,,2.3 Payment Hardware Controller,2.3.1,PaymentController Class,Create abstract interface for payment lifecycle,FSD,P0,1–2,0.5,,Not Started,
,,2.3 Payment Hardware Controller,2.3.2,QRIS Gateway Integration,"Generate payment request, poll status, handle confirmation/expiry",FSD,P0,1–2,1,2.3.1,Not Started,
,,2.3 Payment Hardware Controller,2.3.3,Serial Coin/Bill Acceptor,"Open serial port, parse coin insert events, accumulate amount, fire payment_confirmed",FSD,P0,1–2,1,2.3.1,Not Started,
,,2.3 Payment Hardware Controller,2.3.4,Payment Config,"Add PB_PAYMENT_AMOUNT, PB_PAYMENT_TIMEOUT, PB_QRIS_GATEWAY_URL, PB_QRIS_API_KEY, PB_CASH_SERIAL_PORT, PB_CASH_BAUD_RATE",FSD,P0,1,0.25,,Not Started,Modifies config.py
,,2.3 Payment Hardware Controller,2.3.5,Payment Controller Tests,Unit tests with mock serial and HTTP,FSD,P0,2,0.25,"2.3.2; 2.3.3",Not Started,
,E2 – Backend Completion,2.4 Camera Preview Streaming,,Camera Preview Streaming,MJPEG HTTP preview server,FSD,P0,1,1,,Not Started,
,,2.4 Camera Preview Streaming,2.4.1,MJPEG Streaming Server,"aiohttp GET /preview endpoint on configurable port (default 8080)",FSD,P0,1,0.5,,Not Started,
,,2.4 Camera Preview Streaming,2.4.2,gphoto2 Preview Frames,Capture preview frames at configurable FPS (default 15),FSD,P0,1,0.25,2.4.1,Not Started,
,,2.4 Camera Preview Streaming,2.4.3,Preview Config,"Add PB_PREVIEW_PORT, PB_PREVIEW_FPS, PB_PREVIEW_QUALITY to config.py",FSD,P0,1,0.1,,Not Started,Modifies config.py
,,2.4 Camera Preview Streaming,2.4.4,Preview Lifecycle,Wire start/stop preview into session lifecycle (start on CAPTURE_SETUP; stop after last capture),FSD,P0,1,0.15,2.4.1,Not Started,
,E2 – Backend Completion,2.5 Extend Session Manager & RPC,,Extend Session Manager & RPC,Updated core/session.py and main.py,FSD,P0,2,3,"2.1; 2.2; 2.3; 2.4",Not Started,
,,2.5 Extend Session Manager & RPC,2.5.1,Onboarding Methods,"onboarding_complete(), onboarding_skip() → fire triggers",FSD,P0,2,0.25,,Not Started,Modifies core/session.py
,,2.5 Extend Session Manager & RPC,2.5.2,Payment Methods,"initiate_payment(method, amount), check_payment_status(), cancel_payment()",FSD,P0,2,0.5,,Not Started,Modifies core/session.py
,,2.5 Extend Session Manager & RPC,2.5.3,Capture Setup Methods,capture_setup_ready() → transition to COUNTDOWN,FSD,P0,2,0.15,,Not Started,Modifies core/session.py
,,2.5 Extend Session Manager & RPC,2.5.4,Customization Methods,"set_layout(), set_design(), apply_filter(), reorder_photos(), confirm_customization()",FSD,P0,2,0.5,,Not Started,Modifies core/session.py
,,2.5 Extend Session Manager & RPC,2.5.5,Retake Methods,"retake_photo(photo_index) → validate retake limit (max 1), single-photo capture flow",FSD,P0,2,0.5,,Not Started,Modifies core/session.py
,,2.5 Extend Session Manager & RPC,2.5.6,Composite Rendering,render_composite() using Pillow — layer photos into layout template with design overlay,FSD,P0,2,0.5,,Not Started,May move to E5
,,2.5 Extend Session Manager & RPC,2.5.7,QR / Download Generation,"generate_download_qr() → download token, QR code image, return base64",FSD,P1,2,0.25,,Not Started,
,,2.5 Extend Session Manager & RPC,2.5.8,Inactivity Timeout Config,Add timeout config for all screens to config.py,FSD,P0,2,0.1,,Not Started,Modifies config.py
,,2.5 Extend Session Manager & RPC,2.5.9,Register All New RPC Handlers,"Register onboarding.*, payment.*, capture.*, customize.*, print.*, download.* in main.py",FSD,P0,2,0.25,"2.5.1–2.5.7",Not Started,Modifies main.py
E3,E3 – Electron Shell,,,Electron Shell & IPC Bridge,"Window management, Python spawning, contextBridge, IPC bridge",FSD,P0,2–3,8,,Not Started,Critical Path
,E3 – Electron Shell,3.1 Electron Project Setup,,Electron Project Setup,Electron project with build configuration,FSD,P0,2,2,,Not Started,
,,3.1 Electron Project Setup,3.1.1,Initialise Electron + TS,"Set up package.json scripts (dev, build, start)",FSD,P0,2,0.5,,Not Started,
,,3.1 Electron Project Setup,3.1.2,Build Configuration,Configure electron-builder or electron-forge for packaging,FSD,P0,2,0.5,,Not Started,
,,3.1 Electron Project Setup,3.1.3,Dev Workflow,"Hot-reload for renderer, watch mode for main process",FSD,P0,2,0.5,,Not Started,
,,3.1 Electron Project Setup,3.1.4,Install Dependencies,"zeromq, electron, React build tooling (Vite or webpack)",FSD,P0,2,0.5,,Not Started,
,E3 – Electron Shell,3.2 Window & Process Management,,Window & Process Management,electron/main/index.ts,FSD,P0,2,2,3.1,Not Started,
,,3.2 Window & Process Management,3.2.1,Kiosk BrowserWindow,"Fullscreen, no frame, no menu bar, always on top, disable DevTools in production",FSD,P0,2,0.5,,Not Started,
,,3.2 Window & Process Management,3.2.2,Python Backend Spawning,"child_process.spawn(""python"", [""-m"", ""hw_controller.main""]) with stdout/stderr piping",FSD,P0,2,0.5,,Not Started,
,,3.2 Window & Process Management,3.2.3,Backend Health Monitoring,"Detect Python crash, auto-restart with exponential backoff",FSD,P1,2,0.5,3.2.2,Not Started,
,,3.2 Window & Process Management,3.2.4,Graceful Shutdown,Kill Python process on app quit; handle OS signals,FSD,P0,2,0.25,3.2.2,Not Started,
,,3.2 Window & Process Management,3.2.5,Integrate HardwareIPCClient,Wire existing ipc_client.ts into main process lifecycle,FSD,P0,2,0.25,3.2.1,Not Started,
,E3 – Electron Shell,3.3 Preload Script & Context Bridge,,Preload Script & Context Bridge,electron/preload/preload.ts,FSD,P0,2–3,2,3.2,Not Started,
,,3.3 Preload Script & Context Bridge,3.3.1,Create Preload Script,Expose secure window.electronAPI via contextBridge.exposeInMainWorld,FSD,P0,2–3,0.5,,Not Started,
,,3.3 Preload Script & Context Bridge,3.3.2,Expose RPC Method,"electronAPI.call(method, params) → HardwareIPCClient.call() via ipcMain",FSD,P0,2–3,0.25,3.3.1,Not Started,
,,3.3 Preload Script & Context Bridge,3.3.3,Expose Event Subscription,"electronAPI.on(event, callback) → PUB/SUB forwarding",FSD,P0,2–3,0.25,3.3.1,Not Started,
,,3.3 Preload Script & Context Bridge,3.3.4,Expose Event Unsubscription,"electronAPI.off(event, callback)",FSD,P0,2–3,0.1,3.3.1,Not Started,
,,3.3 Preload Script & Context Bridge,3.3.5,TypeScript Type Declarations,Type declarations for window.electronAPI consumed by React,FSD,P0,3,0.25,3.3.1,Not Started,
,E3 – Electron Shell,3.4 IPC Bridge Integration,,IPC Bridge Integration,End-to-end IPC working,FSD,P0,3,2,"3.2; 3.3",Not Started,
,,3.4 IPC Bridge Integration,3.4.1,Wire ipcMain.handle for RPC,Renderer → main process → ZeroMQ → Python,FSD,P0,3,0.5,,Not Started,
,,3.4 IPC Bridge Integration,3.4.2,Wire Event Forwarding,Python PUB → ZeroMQ SUB → main process → webContents.send → renderer,FSD,P0,3,0.5,,Not Started,
,,3.4 IPC Bridge Integration,3.4.3,Connection State Management,Expose backend connection status to renderer,FSD,P1,3,0.5,"3.4.1; 3.4.2",Not Started,
,,3.4 IPC Bridge Integration,3.4.4,End-to-End IPC Test,"Call system.status from test renderer, verify round-trip response",FSD,P0,3,0.5,"3.4.1; 3.4.2",Not Started,
E4,E4 – React Frontend,,,React Frontend — Core Screens,"All 9 user-facing screens, state management, common components",FSD + GD,P0,3–5,12,E1; E2; E3,Not Started,Critical Path
,E4 – React Frontend,4.1 React Setup & Foundation,,React Setup & Foundation,React app skeleton with routing and state management,FSD,P0,3,2,E3,Not Started,
,,4.1 React Setup & Foundation,4.1.1,Initialise React + TS Project,React + TypeScript inside Electron renderer (Vite recommended),FSD,P0,3,0.5,,Not Started,
,,4.1 React Setup & Foundation,4.1.2,State Management (Zustand),boothStore synced to backend state via IPC events,FSD,P0,3,0.5,4.1.1,Not Started,
,,4.1 React Setup & Foundation,4.1.3,State-Driven Screen Routing,Map each backend State → one screen component (no URL routing),FSD,P0,3,0.25,4.1.2,Not Started,
,,4.1 React Setup & Foundation,4.1.4,Custom Hooks,"useHardwareIPC() (call/on/off), useBoothState() (subscribe to state changes)",FSD,P0,3,0.25,4.1.1,Not Started,
,,4.1 React Setup & Foundation,4.1.5,Inactivity Timeout Hook,"useInactivityTimeout(seconds, onTimeout) for screen-level resets",FSD,P0,3,0.25,4.1.1,Not Started,
,,4.1 React Setup & Foundation,4.1.6,CSS Design System,"Variables, resets, typography, touch targets from GD style guide",FSD,P0,3,0.25,E1 (1.1),Not Started,
,E4 – React Frontend,4.2 Common Components,,Common Components,Shared component library,FSD,P0,3,2,4.1,Not Started,
,,4.2 Common Components,4.2.1,TouchButton,"Large touch-friendly button: primary/secondary/ghost, ripple/press feedback",FSD,P0,3,0.25,,Not Started,
,,4.2 Common Components,4.2.2,ProgressDots,Page indicator for onboarding,FSD,P0,3,0.15,,Not Started,
,,4.2 Common Components,4.2.3,InactivityTimer,Visual countdown bar for screen timeouts,FSD,P0,3,0.25,,Not Started,
,,4.2 Common Components,4.2.4,ErrorOverlay,"Fullscreen error modal with message, icon, retry/dismiss buttons",FSD,P0,3,0.25,,Not Started,
,,4.2 Common Components,4.2.5,LoadingSpinner,Branded loading indicator,FSD,P1,3,0.1,,Not Started,
,,4.2 Common Components,4.2.6,CountdownOverlay,Large animated numbers (3 → 2 → 1) overlaid on camera preview,FSD,P0,3,0.5,,Not Started,
,E4 – React Frontend,4.3 Attract & Onboarding,,Attract & Onboarding Screens,First two screens working,FSD,P0,3–4,2,"4.1; 4.2",Not Started,
,,4.3 Attract & Onboarding,4.3.1,AttractScreen,"Fullscreen idle content (animation/video), tap-anywhere to start, hidden admin gesture (5-tap corner)",FSD,P0,3–4,0.5,,Not Started,
,,4.3 Attract & Onboarding,4.3.2,OnboardingScreen,"Swipeable card carousel with GD illustrations, auto-advance (5s), Skip, page dots, Start button",FSD,P0,3–4,0.5,E1 (1.4.1),Not Started,
,,4.3 Attract & Onboarding,4.3.3,Wire Attract → session.start,RPC call on tap,FSD,P0,3–4,0.25,4.3.1,Not Started,
,,4.3 Attract & Onboarding,4.3.4,Wire Onboarding → RPC,onboarding.complete / onboarding.skip calls,FSD,P0,3–4,0.25,4.3.2,Not Started,
,E4 – React Frontend,4.4 Payment Screen,,Payment Screen,Payment screen with QRIS + Cash tabs,FSD,P0,4,2,"4.2; E2 (2.3)",Not Started,
,,4.4 Payment Screen,4.4.1,PaymentScreen Component,Toggle/tabs between QRIS and Cash payment methods,FSD,P0,4,0.25,,Not Started,
,,4.4 Payment Screen,4.4.2,QRIS Tab,"Dynamic QR code image from backend, status indicator (waiting → confirmed), instructions",FSD,P0,4,0.5,4.4.1,Not Started,
,,4.4 Payment Screen,4.4.3,Cash Tab,"Real-time amount counter via cash_inserted events, remaining amount, progress bar",FSD,P0,4,0.5,4.4.1,Not Started,
,,4.4 Payment Screen,4.4.4,Cancel Button,payment.cancel RPC,FSD,P0,4,0.1,4.4.1,Not Started,
,,4.4 Payment Screen,4.4.5,Auto-Advance on Payment,Transition to Capture Setup on payment_confirmed event,FSD,P0,4,0.15,4.4.1,Not Started,
,,4.4 Payment Screen,4.4.6,Payment Timeout Handling,"Show ""Payment timed out"" → return to Attract",FSD,P0,4,0.25,4.4.1,Not Started,
,E4 – React Frontend,4.5 Capture Screens,,Capture Setup & Camera Capture,Camera screens working,FSD,P0,4,2,"4.2; E2 (2.4)",Not Started,
,,4.5 Capture Screens,4.5.1,CaptureSetupScreen,"Full-screen mirrored MJPEG preview, frame guide overlay, ""I'm Ready!"" button",FSD,P0,4,0.5,,Not Started,
,,4.5 Capture Screens,4.5.2,CameraPreview Component,"Connect to MJPEG stream URL from backend, handle stream errors",FSD,P0,4,0.25,4.5.1,Not Started,
,,4.5 Capture Screens,4.5.3,CameraCaptureScreen,"Live preview + countdown overlay (countdown_tick events), photo progress (""Photo 2 of 4"")",FSD,P0,4,0.5,4.5.2,Not Started,
,,4.5 Capture Screens,4.5.4,Capture Feedback,"Flash/shutter effect, brief thumbnail overlay (1s) on capture_complete event",FSD,P0,4,0.25,4.5.3,Not Started,
,,4.5 Capture Screens,4.5.5,Auto-Advance Between Photos,"next_photo trigger from backend; auto-advance to Customization after all_photos_done",FSD,P0,4,0.25,4.5.3,Not Started,
,E4 – React Frontend,4.6 Print & Complete Screens,,Print Preview / Result / Complete,Final three screens,FSD,P0,4–5,2,4.2,Not Started,
,,4.6 Print & Complete Screens,4.6.1,PrintPreviewScreen,"Final composite at print proportions, ""Print My Photos!"" + ""Go Back & Edit"" buttons",FSD,P0,4–5,0.25,,Not Started,
,,4.6 Print & Complete Screens,4.6.2,PrintResultScreen,"Print progress (print_progress events), QR code for digital download, expiry note",FSD,P0,4–5,0.5,,Not Started,
,,4.6 Print & Complete Screens,4.6.3,SessionCompleteScreen,"Thank-you message, auto-reset countdown (8s default), tap-to-skip",FSD,P0,4–5,0.25,,Not Started,
,,4.6 Print & Complete Screens,4.6.4,Wire All Screen Transitions,All screen transitions driven by backend state_changed events,FSD,P0,5,0.5,"4.3–4.6",Not Started,
E5,E5 – Customization,,,Customization & Composite Rendering,"Customization screen, client/server compositing, filters, retake",FSD,P0,4–5,8,"E1; E2; E4",Not Started,Critical Path
,E5 – Customization,5.1 Customization Screen (Frontend),,Customization Screen,CustomizationScreen.tsx and sub-components,FSD,P0,4,3,"E4; E1 (1.3)",Not Started,
,,5.1 Customization Screen (Frontend),5.1.1,Layout Picker,"Horizontal scroll of layout thumbnails, one-tap → customize.set_layout RPC",FSD,P0,4,0.5,,Not Started,
,,5.1 Customization Screen (Frontend),5.1.2,Design Picker,"Horizontal scroll of design theme thumbnails, one-tap → customize.set_design RPC",FSD,P0,4,0.5,,Not Started,
,,5.1 Customization Screen (Frontend),5.1.3,Photo Thumbnail Grid,"Captured photos, tap-to-swap drag reordering → customize.reorder_photos RPC",FSD,P0,4,0.5,,Not Started,
,,5.1 Customization Screen (Frontend),5.1.4,Filter Picker (per-photo),"Tap filter icon → inline picker (6 filters), CSS preview → customize.apply_filter RPC",FSD,P0,4,0.5,,Not Started,
,,5.1 Customization Screen (Frontend),5.1.5,Retake Button (per-photo),"Tap retake → confirmation → capture.retake RPC → single-photo capture → return. Disable after one use",FSD,P0,4–5,0.5,,Not Started,
,,5.1 Customization Screen (Frontend),5.1.6,Live Preview (FrameCompositor),"Render live preview with current layout, design, photo order, filters (CSS/Canvas)",FSD,P0,4–5,0.5,"5.1.1–5.1.4; 5.3",Not Started,
,,5.1 Customization Screen (Frontend),5.1.7,Timer & Confirm Button,"Remaining customization time indicator, ""Looks Great!"" confirm → customize.confirm RPC",FSD,P0,4,0.25,,Not Started,
,E5 – Customization,5.2 Client-Side Filters,,Client-Side Filter Rendering,utils/filters.ts,FSD,P0,4,1,5.1,Not Started,
,,5.2 Client-Side Filters,5.2.1,Filter Presets Definition,CSS filter chains matching PRD Appendix A,FSD,P0,4,0.25,,Not Started,
,,5.2 Client-Side Filters,5.2.2,Canvas Filter Apply,"applyFilter(canvas, filterId) for Canvas-based preview",FSD,P0,4,0.5,5.2.1,Not Started,
,,5.2 Client-Side Filters,5.2.3,CSS Filter Fallback,CSS filter property fallback for <img> elements,FSD,P1,4,0.25,5.2.1,Not Started,
,E5 – Customization,5.3 Client-Side Frame Compositor,,Client-Side Frame Compositor,utils/frameRenderer.ts,FSD,P0,4–5,2,"5.1; E1 (1.3)",Not Started,
,,5.3 Client-Side Frame Compositor,5.3.1,Load Layout Config,"JSON: slot positions, dimensions",FSD,P0,4–5,0.25,,Not Started,
,,5.3 Client-Side Frame Compositor,5.3.2,Load Design Theme Assets,"Border, background, overlay PNGs",FSD,P0,4–5,0.25,,Not Started,
,,5.3 Client-Side Frame Compositor,5.3.3,Canvas Composite Preview,"Place photos in slots, apply filters, overlay design on HTML5 Canvas",FSD,P0,4–5,1,"5.3.1; 5.3.2",Not Started,
,,5.3 Client-Side Frame Compositor,5.3.4,Support All 5 Layouts,strip_vertical / strip_horizontal / grid_2x2 / collage_1_3 / single_large,FSD,P0,5,0.5,5.3.3,Not Started,
,E5 – Customization,5.4 Server-Side Composite Renderer,,Server-Side Composite Renderer,hw_controller/core/compositor.py,FSD,P0,5,2,"E2 (2.2); E1 (1.3)",Not Started,
,,5.4 Server-Side Composite Renderer,5.4.1,CompositeRenderer Class,"Pillow-based: load photos, apply high-res filters, place into layout template",FSD,P0,5,0.5,,Not Started,
,,5.4 Server-Side Composite Renderer,5.4.2,Print-Ready Output,Compose final image at 300 DPI for print,FSD,P0,5,0.5,5.4.1,Not Started,
,,5.4 Server-Side Composite Renderer,5.4.3,Save Composite,Save to session_dir/<session_id>/composite.jpg,FSD,P0,5,0.25,5.4.1,Not Started,
,,5.4 Server-Side Composite Renderer,5.4.4,Wire to Session Lifecycle,Called on print.request or customize.confirm,FSD,P0,5,0.25,5.4.1,Not Started,
E6,E6 – Print & QR,,,Print / QR & Download System,"Print flow, QR code generation, download URLs",FSD,P1,5–6,5,E5; E2,Not Started,
,E6 – Print & QR,6.1 Print Flow Integration,,Print Flow Integration,End-to-end print working,FSD,P0,5,2,"E5 (5.4); E2 (printer)",Not Started,
,,6.1 Print Flow Integration,6.1.1,Wire print.request RPC,"Render composite (if needed) → send to printer",FSD,P0,5,0.5,,Not Started,
,,6.1 Print Flow Integration,6.1.2,Print Progress Events,Emit print_progress events during rendering and printing stages,FSD,P0,5,0.25,6.1.1,Not Started,
,,6.1 Print Flow Integration,6.1.3,Print Failure Handling,"Error event, allow retry or fallback to QR-only",FSD,P0,5,0.5,6.1.1,Not Started,
,,6.1 Print Flow Integration,6.1.4,Configurable Print Size/Copies,"Support 4×6, 2×6 and copies via config",FSD,P1,5,0.25,6.1.1,Not Started,
,E6 – Print & QR,6.2 QR & Download URL,,QR Code & Download URL Generation,QR generation + download service,FSD,P0,5–6,2,E2 (2.2),Not Started,
,,6.2 QR & Download URL,6.2.1,download.generate_qr RPC,"Unique 64-char hex token, QR image (qrcode lib), return base64 PNG",FSD,P0,5–6,0.5,,Not Started,
,,6.2 QR & Download URL,6.2.2,Store Download Token,Save download_token and expiry in Session record,FSD,P0,5–6,0.25,6.2.1,Not Started,
,,6.2 QR & Download URL,6.2.3,download.get_url RPC,Return download URL with file list (composite + individual photos),FSD,P1,6,0.25,6.2.1,Not Started,
,,6.2 QR & Download URL,6.2.4,Download Config,"PB_DOWNLOAD_BASE_URL, PB_DOWNLOAD_EXPIRY_DAYS, PB_QR_SIZE",FSD,P0,5,0.1,,Not Started,Modifies config.py
,E6 – Print & QR,6.3 Frontend QR Display,,Frontend QR Display,QRCodeDisplay component,FSD,P0,6,1,6.2,Not Started,
,,6.3 Frontend QR Display,6.3.1,QRCodeDisplay Component,Render base64 QR image from backend,FSD,P0,6,0.25,,Not Started,
,,6.3 Frontend QR Display,6.3.2,Download URL Text,Show download URL below QR for manual entry,FSD,P1,6,0.1,,Not Started,
,,6.3 Frontend QR Display,6.3.3,Expiry Info,"Show ""Available for N days""",FSD,P1,6,0.1,,Not Started,
E7,E7 – Admin Panel,,,Admin Panel,"Hidden admin interface: dashboard, hardware controls, settings, maintenance",FSD + GD,P2,6–7,8,"E2; E4",Not Started,Can defer post-MVP
,E7 – Admin Panel,7.1 Admin Access & Auth,,Admin Access & Authentication,Admin access flow,FSD,P2,6,1,E4 (4.3.1),Not Started,
,,7.1 Admin Access & Auth,7.1.1,Hidden Gesture,5-tap on Attract screen corner within 3 seconds,FSD,P2,6,0.25,,Not Started,
,,7.1 Admin Access & Auth,7.1.2,PIN Entry Screen,"Numeric keypad, configurable PIN (default 000000)",FSD,P2,6,0.25,7.1.1,Not Started,
,,7.1 Admin Access & Auth,7.1.3,admin.authenticate RPC,"Validate PIN, return admin token",FSD,P2,6,0.25,7.1.2,Not Started,
,,7.1 Admin Access & Auth,7.1.4,Admin Inactivity Timeout,5-minute timeout → return to Attract,FSD,P2,6,0.15,7.1.1,Not Started,
,E7 – Admin Panel,7.2 Admin Backend API,,Admin Backend API,Admin RPC handlers in main.py,FSD,P2,6,2,7.1,Not Started,
,,7.2 Admin Backend API,7.2.1,admin.get_dashboard,"Today's sessions, revenue, camera/printer/payment status, uptime, last 10 sessions",FSD,P2,6,0.25,,Not Started,
,,7.2 Admin Backend API,7.2.2,admin.update_config,"Update photos_per_session, countdown, price, timeouts at runtime",FSD,P2,6,0.25,,Not Started,
